restaurant_id,restaurant_name,slug,device_uuid,qr_filename
973,"Capital Bites",capital-bites-973,56c19cdd-f1ef-4407-8a25-3b73b11207d2,Capital_Bites_973.png
974,"Pachino Pizza",pachino-pizza-974,58e02c38-8eca-4cee-93de-10b8c3537d15,Pachino_Pizza_974.png
976,"Pizza Marie",pizza-marie-976,d279c3f0-5838-42f8-beb2-0140c6dfba4b,Pizza_Marie_976.png
977,"Capri Pizza",capri-pizza-977,9f253c7b-c8b9-4520-8041-cb5c6dfbb16a,Capri_Pizza_977.png
981,"Al-s Drive In",al-s-drive-in-981,8e433536-fa9b-4c79-9fb5-8c7085751a88,Al-s_Drive_In_981.png
984,"La Famiglia on the Danforth",la-famiglia-on-the-danforth-984,ed557d4d-3f6c-4b99-bd31-7486434db2b0,La_Famiglia_on_the_Danforth_984.png
985,"Yorgo's - Nepean",yorgos-nepean-985,65c745e0-7b1b-4390-bfcc-a5c65f8f1d65,Yorgos_-_Nepean_985.png
1009,"Econo Pizza",econo-pizza-1009,006fe8aa-eec7-465c-bb8d-9180d3a2c910,Econo_Pizza_1009.png
1010,"Lemongrass Thai Cuisine",lemongrass-thai-cuisine-1010,3a7343b0-1b0f-46b2-a55e-0183a969a9a0,Lemongrass_Thai_Cuisine_1010.png
1011,"Mozza Pizza Gatineau",mozza-pizza-gatineau-1011,aa4a75e2-6ef9-4a6f-a988-fbf3507d0f1e,Mozza_Pizza_Gatineau_1011.png
1012,"Papa Pizza Des Flandres",papa-pizza-des-flandres-1012,592b789f-3b33-4b31-920f-595e02861682,Papa_Pizza_Des_Flandres_1012.png
1013,"Papa Pizza Maloney",papa-pizza-maloney-1013,a2e2edc4-d11c-44a8-bc09-f92f1b114932,Papa_Pizza_Maloney_1013.png
1014,"Papa Pizza Val-Des-Monts",papa-pizza-val-des-monts-1014,6b38068a-d2b1-4f4f-8f31-e8189fce002a,Papa_Pizza_Val-Des-Monts_1014.png
1015,"Poutinerie Québecurds Gatineau",poutinerie-quebecurds-gatineau-1015,2672149c-f36a-48db-9098-a39ebe279e5c,Poutinerie_Qubecurds_Gatineau_1015.png
1016,"Roulas Grecque et Pizza",roulas-grecque-et-pizza-1016,05e19fb8-dc09-41c1-94c4-96811b35d017,Roulas_Grecque_et_Pizza_1016.png
1017,"Sushi Express Chambly",sushi-express-chambly-1017,e7ffb212-7fa3-4312-9fcb-ec600e4812de,Sushi_Express_Chambly_1017.png
1020,"Sushi Presse",sushi-presse,b7a8e9c8-fb52-45cc-abf1-2d0368b3c45b,Sushi_Presse_1020.png
1021,"JJ's Shawarma",jjs-shawarma-1021,99a20bed-788c-4d07-a048-b3a0e15d670a,JJs_Shawarma_1021.png
